01.12.2017 [0, 0, 0, 'n', 'n', 'n', 0, 'n', 'n', 'n', 0, 0, 'n', 'n', 'n', 0, 'n', 'n', 'n']
04.12.2017 [0, 0, 0, 'n', 'n', 'n', 0, 'n', 'n', 'n', 0, 0, 'n', 'n', 'n', 0, 'n', 'n', 'n']
05.12.2017 [0, 0, 0, 'n', 'n', 'n', 0, 'n', 'n', 'n', 0, 0, 'n', 'n', 'n', 0, 'n', 'n', 'n']
06.12.2017 [0, 0, 0, 'n', 'n', 'n', 0, 'n', 'n', 'n', 0, 0, 'n', 'n', 'n', 0, 'n', 'n', 'n']
07.12.2017 [0, 0, 0, 'n', 'n', 'n', 0, 'n', 'n', 'n', 0, 0, 'n', 'n', 'n', 0, 'n', 'n', 'n']
08.12.2017 [0, 0, 0, 'n', 'n', 'n', 0, 'n', 'n', 'n', 0, 0, 'n', 'n', 'n', 0, 'n', 'n', 'n']
11.12.2017 [0, 0, 0, 'n', 'n', 'n', 0, 'n', 'n', 'n', 0, 0, 'n', 'n', 'n', 0, 'n', 'n', 'n']
12.12.2017 [0, 0, 0, 'n', 'n', 'n', 0, 'n', 'n', 'n', 0, 0, 'n', 'n', 'n', 0, 'n', 'n', 'n']
13.12.2017 [0, 0, 0, 'n', 'n', 'n', 0, 'n', 'n', 'n', 0, 0, 'n', 'n', 'n', 0, 'n', 'n', 'n']
14.12.2017 [0, 0, 0, 'n', 'n', 'n', 0, 'n', 'n', 'n', 0, 0, 'n', 'n', 'n', 0, 'n', 'n', 'n']
15.12.2017 [0, 0, 0, 'n', 'n', 'n', 0, 'n', 'n', 'n', 0, 0, 'n', 'n', 'n', 0, 'n', 'n', 'n']
18.12.2017 [0, 0, 0, 'n', 'n', 'n', 0, 'n', 'n', 'n', 0, 0, 'n', 'n', 'n', 0, 'n', 'n', 'n']
19.12.2017 [0, 0, 0, 'n', 'n', 'n', 0, 'n', 'n', 'n', 0, 0, 'n', 'n', 'n', 0, 'n', 'n', 'n']
20.12.2017 [0, 0, 0, 'n', 'n', 'n', 0, 'n', 'n', 'n', 0, 0, 'n', 'n', 'n', 0, 'n', 'n', 'n']
21.12.2017 [0, 0, 0, 'n', 'n', 'n', 0, 'n', 'n', 'n', 0, 0, 'n', 'n', 'n', 0, 'n', 'n', 'n']
22.12.2017 [0, 0, 0, 'n', 'n', 'n', 0, 'n', 'n', 'n', 0, 0, 'n', 'n', 'n', 0, 'n', 'n', 'n']
26.12.2017 [0, 0, 0, 'n', 'n', 'n', 0, 'n', 'n', 'n', 0, 0, 'n', 'n', 'n', 0, 'n', 'n', 'n']
27.12.2017 [0, 0, 0, 'n', 'n', 'n', 0, 'n', 'n', 'n', 0, 0, 'n', 'n', 'n', 0, 'n', 'n', 'n']
28.12.2017 [0, 0, 0, 'n', 'n', 'n', 0, 'n', 'n', 'n', 0, 0, 'n', 'n', 'n', 0, 'n', 'n', 'n']
29.12.2017 [0, 0, 0, 'n', 'n', 'n', 0, 'n', 'n', 'n', 0, 0, 'n', 'n', 'n', 0, 'n', 'n', 'n']
02.01.2018 [0, 0, 0, 'n', 'n', 'n', 0, 'n', 'n', 'n', 0, 0, 'n', 'n', 'n', 0, 'n', 'n', 'n']
03.01.2018 [0, 0, 0, 'n', 'n', 'n', 0, 'n', 'n', 'n', 0, 0, 'n', 'n', 'n', 0, 'n', 'n', 'n']
04.01.2018 [0, 0, 0, 'n', 'n', 'n', 0, 'n', 'n', 'n', 0, 0, 'n', 'n', 'n', 0, 'n', 'n', 'n']
05.01.2018 [0, 0, 0, 'n', 'n', 'n', 0, 'n', 'n', 'n', 0, 0, 'n', 'n', 'n', 0, 'n', 'n', 'n']
08.01.2018 [0, 0, 0, 'n', 'n', 'n', 0, 'n', 'n', 'n', 0, 0, 'n', 'n', 'n', 0, 'n', 'n', 'n']
09.01.2018 [0, 0, 0, 'n', 'n', 'n', 0, 'n', 'n', 'n', 0, 0, 'n', 'n', 'n', 0, 'n', 'n', 'n']
10.01.2018 [0, 0, 0, 'n', 'n', 'n', 0, 'n', 'n', 'n', 0, 0, 'n', 'n', 'n', 0, 'n', 'n', 'n']
11.01.2018 [0, 0, 0, 'n', 'n', 'n', 0, 'n', 'n', 'n', 0, 0, 'n', 'n', 'n', 0, 'n', 'n', 'n']
12.01.2018 [0, 0, 0, 'n', 'n', 'n', 0, 'n', 'n', 'n', 0, 0, 'n', 'n', 'n', 0, 'n', 'n', 'n']
16.01.2018 [0, 0, 0, 'n', 'n', 'n', 0, 'n', 'n', 'n', 0, 0, 'n', 'n', 'n', 0, 'n', 'n', 'n']
17.01.2018 [0, 0, 0, 'n', 'n', 'n', 0, 'n', 'n', 'n', 0, 0, 'n', 'n', 'n', 0, 'n', 'n', 'n']
18.01.2018 [0, 0, 0, 'n', 'n', 'n', 0, 'n', 'n', 'n', 0, 0, 'n', 'n', 'n', 0, 'n', 'n', 'n']
19.01.2018 [0, 0, 0, 'n', 'n', 'n', 0, 'n', 'n', 'n', 0, 0, 'n', 'n', 'n', 0, 'n', 'n', 'n']
22.01.2018 [0, 0, 0, 'n', 'n', 'n', 0, 'n', 'n', 'n', 0, 0, 'n', 'n', 'n', 0, 'n', 'n', 'n']
23.01.2018 [0, 0, 0, 'n', 'n', 'n', 0, 'n', 'n', 'n', 0, 0, 'n', 'n', 'n', 0, 'n', 'n', 'n']
24.01.2018 [0, 0, 0, 'n', 'n', 'n', 0, 'n', 'n', 'n', 0, 0, 'n', 'n', 'n', 0, 'n', 'n', 'n']
25.01.2018 [0, 0, 0, 'n', 'n', 'n', 0, 'n', 'n', 'n', 0, 0, 'n', 'n', 'n', 0, 'n', 'n', 'n']
26.01.2018 [0, 0, 0, 'n', 'n', 'n', 0, 'n', 'n', 'n', 0, 0, 'n', 'n', 'n', 0, 'n', 'n', 'n']
29.01.2018 [0, 0, 0, 'n', 'n', 'n', 0, 'n', 'n', 'n', 0, 0, 'n', 'n', 'n', 0, 'n', 'n', 'n']
30.01.2018 [0, 0, 0, 'n', 'n', 'n', 0, 'n', 'n', 'n', 0, 0, 'n', 'n', 'n', 0, 'n', 'n', 'n']
