31.10.2016    4821,3153    4823,9153    4801,1619    4801,2707
01.11.2016    4810,3012    4811,0211    4726,3521    4766,9366
02.11.2016    4764,8256    4773,6453    4717,5646    4726,9066
03.11.2016    4718,5331    4732,2022    4673,0544    4679,1032
04.11.2016    4647,5899    4697,9382    4647,5899    4660,4564
07.11.2016    4737,9850    4777,0608    4731,7858    4773,7290
08.11.2016    4766,4826    4824,9667    4757,2447    4804,9200
09.11.2016    4748,9047    4832,9449    4747,3528    4825,1839
10.11.2016    4849,7064    4855,7872    4685,7366    4747,0278
11.11.2016    4729,1390    4759,8246    4711,9597    4751,9509
14.11.2016    4752,6131    4753,2730    4677,4119    4702,0448
15.11.2016    4733,5716    4778,6526    4727,9763    4764,4741
16.11.2016    4745,0284    4794,5716    4742,9450    4792,2682
17.11.2016    4789,7850    4826,7505    4781,7226    4826,5876
18.11.2016    4832,8105    4840,8093    4804,4400    4808,0415
21.11.2016    4822,0259    4862,2349    4819,5744    4858,9982
22.11.2016    4876,9178    4884,6261    4861,0754    4873,8417
23.11.2016    4856,7223    4859,6652    4832,5931    4853,8621
25.11.2016    4861,4659    4870,8992    4853,0413    4870,0170
28.11.2016    4861,7330    4878,8730    4852,7115    4857,0209
29.11.2016    4859,8475    4896,5688    4848,8888    4873,2093
30.11.2016    4876,2969    4880,7637    4810,8138    4810,8138
01.12.2016    4806,7726    4810,4389    4723,5732    4734,0960
02.12.2016    4734,3779    4759,0260    4721,4138    4739,3724
05.12.2016    4762,3425    4795,2843    4743,5285    4778,1408
06.12.2016    4786,0622    4796,5772    4769,3886    4788,6714
07.12.2016    4778,8625    4854,3232    4765,4414    4851,9394
08.12.2016    4849,7491    4869,5625    4843,0386    4859,1859
09.12.2016    4878,5435    4897,2409    4877,1821    4895,9036
12.12.2016    4878,0411    4882,9762    4854,2694    4874,2975
13.12.2016    4893,6526    4960,4846    4890,1504    4935,8376
14.12.2016    4943,6353    4955,2468    4910,7596    4921,2184
15.12.2016    4925,6538    4959,9028    4919,8111    4933,4067
16.12.2016    4945,0372    4952,1426    4904,3769    4914,8640
19.12.2016    4919,1644    4962,9995    4911,7502    4934,8471
20.12.2016    4948,3390    4961,5470    4944,3235    4953,8028
21.12.2016    4952,0706    4957,4486    4938,2382    4948,9049
22.12.2016    4948,3596    4948,3596    4917,3343    4934,3911
23.12.2016    4927,5261    4940,0379    4922,9449    4940,0235
27.12.2016    4948,9179    4992,0779    4947,5902    4965,8075
28.12.2016    4976,4183    4978,4335    4922,0893    4926,2859
29.12.2016    4923,9245    4933,7103    4903,2810    4918,2825
30.12.2016    4925,3617    4927,1607    4853,9290    4863,6196
03.01.2017    4900,8544    4928,4900    4884,5222    4911,3336
04.01.2017    4920,7919    4944,7449    4919,8026    4937,2050
05.01.2017    4936,3546    4967,9006    4935,3427    4964,9525
06.01.2017    4973,8676    5020,6993    4957,8211    5007,0766
